Mes_y_año,Código_departamento,Código_municipio,Precio_promedio_por_litro
2024-02-01,50,50313,1852.972336668629
2024-02-01,50,50318,1808.1289386589287
2024-02-01,50,50606,1848.5584888987075
2024-02-01,50,50689,1864.8172665414575
2024-02-01,50,50001,2023.7176262472708
2024-02-01,52,52110,2070.3965971237594
2024-02-01,52,52224,1605.0548269189424
2024-02-01,52,52227,1797.2761559561127
2024-02-01,52,52317,1646.6719212533994
2024-02-01,52,52352,1506.506575486586
2024-02-01,52,52356,1701.4022483940048
2024-02-01,52,52001,1823.5084654662726
2024-02-01,52,52560,1583.9691581794118
2024-02-01,52,52573,1654.9870822921519
2024-02-01,52,52585,1785.065852343909
2024-02-01,52,52720,1579.6896019132078
2024-02-01,52,52788,1585.5359604170344
2024-02-01,52,52838,1578.2276571501934
2024-02-01,54,54172,2198.2027121348096
2024-02-01,54,54174,1683.8007478632478
2024-02-01,54,54385,1808.7044956712218
2024-02-01,54,54001,2080.6360568565296
2024-02-01,54,54820,1797.199290650034
2024-02-01,86,86219,1554.0122047906204
2024-02-01,86,86755,1615.329133570711
2024-02-01,86,86760,1563.2355863400237
2024-02-01,86,86749,1550.7278362133732
2024-02-01,63,63190,2309.7191167884084
2024-02-01,63,63272,2008.1666147535004
2024-02-01,63,63594,1982.5590668103928
2024-02-01,63,63690,2077.95868532207
2024-02-01,66,66170,2147.7035722209894
2024-02-01,66,66001,2339.982665896262
2024-02-01,66,66682,2178.106763749655
2024-02-01,68,68081,1877.5116302088481
2024-02-01,68,68167,1961.529123981535
2024-02-01,68,68190,2004.975399954384
2024-02-01,68,68235,1807.4372878367058
2024-02-01,68,68298,1487.5705154518264
2024-02-01,68,68406,1985.355513570803
2024-02-01,68,68547,2291.4894074940266
2024-02-01,68,68572,1691.048239202658
2024-02-01,68,68615,1922.481585987028
2024-02-01,68,68655,1875.6798170939335
2024-02-01,68,68689,1786.839940779734
2024-02-01,68,68745,1934.3148441238168
2024-02-01,68,68755,2082.3252857502807
2024-02-01,68,68770,1770.776466412282
2024-02-01,68,68861,1903.1516668562979
2024-02-01,70,70235,2045.8540862855134
2024-02-01,70,70508,2009.4296788482832
2024-02-01,70,70823,2222.182720132286
2024-02-01,70,70742,2093.7918526785716
2024-02-01,70,70708,2099.9999999999995
2024-02-01,70,70713,2180.6906246620774
2024-02-01,70,70717,2000.0000000000002
2024-02-01,70,70001,2137.010695676022
2024-02-01,73,73124,1699.9999999999998
2024-02-01,73,73001,2190.4299802761343
2024-02-01,76,76113,2264.823398476756
2024-02-01,76,76111,2089.831927746874
2024-02-01,76,76364,2471.447602131439
2024-02-01,76,76520,2374.8321554770314
2024-02-01,76,76834,1879.051770681277
2024-02-01,76,76895,2441.3837034249154
2024-03-01,5,5001,2056.5168770387177
2024-03-01,5,5002,2062.5801672483044
2024-03-01,5,5038,1977.7222335439164
2024-03-01,5,5079,2208.154087229041
2024-03-01,5,5086,2144.9885643282855
2024-03-01,5,5088,2396.218356204198
2024-03-01,5,5148,1918.7286337351757
2024-03-01,5,5150,1883.992070468104
2024-03-01,5,5237,2162.2303876538676
2024-03-01,5,5264,2019.975134218705
2024-03-01,5,5266,1908.817547357926
2024-03-01,5,5310,2007.0497309108564
2024-03-01,5,5318,1822.5326454128367
2024-03-01,5,5376,2002.9439270583177
2024-03-01,5,5400,2081.007875654859
2024-03-01,5,5440,2053.5147272487125
2024-03-01,5,5615,2089.515871270434
2024-03-01,5,5656,2141.7465206479583
2024-03-01,5,5658,2018.399690676093
2024-03-01,5,5664,2209.9610887096774
2024-03-01,5,5686,2023.3757020396097
2024-03-01,5,5697,1934.264193893948
2024-03-01,5,5756,2088.1704392262595
2024-03-01,5,5887,2060.0054261813248
2024-03-01,8,8141,2333.1479747131816
2024-03-01,8,8372,2332.0727923000045
2024-03-01,8,8436,2409.5939086294416
2024-03-01,8,8560,2371.1317659923457
2024-03-01,8,8638,2499.3712104199417
2024-03-01,13,13052,2310.7361733931234
2024-03-01,13,13140,2347.855626326964
2024-03-01,13,13244,2266.2809766763844
2024-03-01,13,13248,2273.8321513681126
2024-03-01,13,13430,2008.3088564743364
2024-03-01,13,13433,2332.1626016260166
